Date	Item	# of 1	# of 2	# of 3	# of 4	# of 5
2009-06-26	Friday	MjAwOTA4MTYwMDM3MDk=	1	2	1	2	2
2009-07-03	Friday	MjAwOTA4MTYwMDM3MDk=	0	2	0	0	3
2009-07-10	Friday	MjAwOTA4MTYwMDM3MDk=	2	1	1	2	1
2009-07-17	Friday	MjAwOTA4MTYwMDM3MDk=	1	1	4	2	0
2009-07-24	Friday	MjAwOTA4MTYwMDM3MDk=	2	1	3	2	1
2009-07-31	Friday	MjAwOTA4MTYwMDM3MDk=	3	2	3	3	4
2009-08-07	Friday	MjAwOTA4MTYwMDM3MDk=	1	4	4	5	1
2009-08-14	Friday	MjAwOTA4MTYwMDM3MDk=	4	0	2	0	5
2009-08-21	Friday	MjAwOTA4MTYwMDM3MDk=	8	1	0	1	2
2009-08-28	Friday	MjAwOTA4MTYwMDM3MDk=	1	0	1	1	4
2009-09-04	Friday	MjAwOTA4MTYwMDM3MDk=	4	1	1	2	0
2009-09-11	Friday	MjAwOTA4MTYwMDM3MDk=	2	1	2	2	2
2009-09-18	Friday	MjAwOTA4MTYwMDM3MDk=	2	2	4	3	2
2009-09-25	Friday	MjAwOTA4MTYwMDM3MDk=	2	1	2	1	0
2009-10-02	Friday	MjAwOTA4MTYwMDM3MDk=	2	1	2	0	3
2009-10-09	Friday	MjAwOTA4MTYwMDM3MDk=	1	1	1	1	2
2009-10-16	Friday	MjAwOTA4MTYwMDM3MDk=	3	0	5	1	3
2009-10-23	Friday	MjAwOTA4MTYwMDM3MDk=	3	2	2	2	1
2009-10-30	Friday	MjAwOTA4MTYwMDM3MDk=	1	2	2	0	2
2009-11-06	Friday	MjAwOTA4MTYwMDM3MDk=	1	2	2	0	1
2009-11-13	Friday	MjAwOTA4MTYwMDM3MDk=	3	0	4	1	0
2009-11-20	Friday	MjAwOTA4MTYwMDM3MDk=	0	0	1	3	0
2009-11-27	Friday	MjAwOTA4MTYwMDM3MDk=	1	1	0	0	1
2009-12-04	Friday	MjAwOTA4MTYwMDM3MDk=	1	1	0	4	1
2009-12-11	Friday	MjAwOTA4MTYwMDM3MDk=	0	2	1	1	1
2009-12-18	Friday	MjAwOTA4MTYwMDM3MDk=	1	2	1	3	2
